State Agency or Indian Tribal Organization,01-10-2012 0.00,01-11-2012 0.00,01-12-2012 0.00,01-01-2013 0.00,01-02-2013 0.00,01-03-2013 0.00,01-04-2013 0.00,01-05-2013 0.00,01-06-2013 0.00,01-07-2013 0.00,01-08-2013 0.00,01-09-2013 0.00,Cumulative Cost
Connecticut,311675,3723346,2540136,438463,2475119,2333308,2678312,2542091,2602496,2563732,2724562,2572561,27505801
Maine,929634,670784,1384822,641767,1367552,1183489,561082,1021345,1027794,997535,1063635,1059067,11908506
Massachusetts,4860558,4957507,4585802,5000377,4698175,4481695,4961374,4789617,4593960,4797352,5270947,4571995,57569359
New Hampshire,533791,615479,495429,523601,540449,500267,567513,482788,462323,469006,482742,514234,6187622
New York,28919717,30207094,28437767,29483293,29642985,27908564,30404404,29434759,28943361,28846816,29888584,14819965,336937309
Rhode Island,1570239,638338,1115757,1065361,1061827,1105903,1038028,1151801,1081326,1083217,1002281,1119039,13033117
Vermont,762572,764516,761824,735744,743482,740202,728280,750845,706944,724391,731961,734146,8884907
"Indian Township, ME",4200,4204,4621,4613,4159,4405,4389,4072,4332,4339,3714,3901,50949
"Pleasant Point, ME",5005,7867,1378,4559,3537,4642,3711,4738,1014,5085,5649,4815,52000
"Seneca Nation, NY",5069,5392,4149,5027,4897,3962,3706,5413,4225,3993,3969,4031,53833
Delaware,893531,932974,838843,1282291,336302,742708,1237027,411068,1228010,41290,1171788,330237,9446069
District of Columbia,736621,749990,1107178,318338,710269,622228,764836,684446,706015,685282,411152,1002381,8498736
Maryland,6596946,6800387,6154411,6165546,6475793,5773825,6185124,5992931,6144426,5987603,6613886,5827539,74718417
New Jersey,9027132,9018020,8902786,9268474,8948880,8591296,9325388,9130670,8832062,8841066,9248991,8596771,107731536
Pennsylvania,7989691,-550874,7174291,22471535,7495415,11677213,11445052,12587524,11230641,11926883,12588998,17508496,133544865
Puerto Rico,17263170,17151236,17021327,16098033,16817658,16793676,16975042,16602509,17079299,16396461,16433886,15936781,200569078
Virginia,5801320,8046947,2279842,5037999,5075104,4652684,5253856,5072519,4949239,5439905,5252184,1542194,58403793
Virgin Islands,441879,448050,425085,407172,425307,406026,419859,356468,427508,463018,398795,403899,5023066
West Virginia,3096540,1246645,1926129,2106184,2036193,1880931,2091797,1954566,2990515,2956883,75809,1208043,23570235
Alabama,7269038,7348175,6394346,6516762,6144448,5658445,6331980,6432969,6253561,6401778,6546757,6405876,77704135
Florida,21953575,22870973,20181135,22570145,21769127,19384440,21982151,21313660,20737060,21628073,23085609,21423729,258899677
Georgia,15838758,15652194,14156083,14531573,13240512,11931741,12912390,12095322,11803198,11726394,12813278,11275660,157977103
Kentucky,5289972,5201130,5047170,5346088,4982472,4951350,7434936,2736589,5048742,5077013,5174338,5175983,61465783
Mississippi,4721277,5077097,4511083,5304819,4237346,5159998,4648496,4853767,4587901,5114576,5345459,5474469,59036288
North Carolina,8920038,14185103,14485456,6593020,12249396,9994137,12403168,11012479,11682446,11130100,12569504,11992668,137217515
South Carolina,6335563,5997726,5806303,6181164,5521662,5375336,5718224,5656543,5548712,5547448,5615815,5695358,68999854
Tennessee,6897572,6949874,6680485,6800243,6670499,6313840,6418278,6521189,6658558,6591353,6854437,6964539,80320867
"Choctaw Indians, MS",34364,36955,33627,34927,30778,30228,36706,37240,31126,27086,35394,37815,406246
"Eastern Cherokee, NC",21808,27931,29703,15530,30552,22190,29866,23953,20863,21954,26171,19420,289941
Illinois,15867107,15522712,11566830,14813710,13202930,13863519,15980794,15099279,14686293,9031780,11469461,10991769,162096184
Indiana,6208287,6327893,5734911,6347313,5989725,5236322,6199582,5849198,5861862,5684017,6285451,5605243,71329804
Michigan,6104046,10681869,10883674,10679035,10268949,10312454,10372837,11113435,15573059,5696477,10807810,10891831,123385476
Minnesota,7012192,3770804,7556346,6528300,4169111,5902044,8035736,4857316,3489024,4833874,5210728,8343541,69709016
Ohio,9244515,11167328,14736672,4583216,9472868,8474119,8624054,9096860,8893980,9538569,10155447,9219730,113207358
Wisconsin,5110331,5237473,6902359,3184948,4882536,4578755,4996589,4907646,4766226,4870053,5076037,4643434,59156387
Arkansas,4322584,4087583,3643952,3970120,3713514,4307333,4162554,4233168,3870822,3859059,3862184,6077765,50110638
Louisiana,9925260,4647231,6884836,7139525,6646995,7137377,7041627,7139075,6847869,6905654,7047984,6844641,84208074
New Mexico,1043100,2130765,3123101,2140643,1984646,863734,3088442,1027196,3047515,957498,2089085,3047012,24542737
Oklahoma,3651666,3836300,3682110,3523508,3562949,3788212,3562483,3414554,3207034,3418491,3683261,3961446,43292014
Texas,,,,,,,,,,,,, 
Texas,31191301,28764733,9959409,29473134,27792976,24549175,28098078,29152286,25665203,27981246,10348838,30318275,303294654
"Acoma, Canoncito & Laguna, NM",15653,18000,27770,32126,17781,19142,19652,22976,18000,23061,24341,21000,259502
"Eight Northern Pueblos, NM",12647,13788,14316,13951,13622,14257,13039,13592,11885,12743,12392,11695,157927
"Five Sandoval Pueblos, NM",13174,12826,13617,14283,14248,14108,14182,12972,13359,13620,15111,14419,165919
"Isleta Pueblo, NM",36199,39309,40973,42445,39845,43456,42821,43703,45163,49000,49318,45990,518222
"San Felipe Pueblo, NM",15708,14643,15603,13638,24246,16503,15589,14116,19060,13208,22377,19481,204172
"Santo Domingo Tribe, NM",15339,15704,16144,15463,15699,14150,12391,13261,13987,15626,16501,25960,190225
"Zuni Pueblo, NM",45154,40442,43453,40525,41981,34361,41838,39982,40444,39033,39502,38884,485599
"Cherokee Nation, OK",292344,303862,306168,331532,230163,279818,309911,357717,560534,491165,45168,339027,3847409
"Chickasaw Nation, OK",53019,136796,129728,149788,142078,172999,86806,152872,138608,139390,137029,145881,1584994
"Choctaw Nation, OK",177336,181097,162419,161842,153033,138949,150784,151512,157578,146588,171392,58691,1811221
"Citizen Potawatomi Nation, OK",46362,47868,44406,56241,47019,58827,55143,57500,51646,61209,54252,54292,634765
"Inter-Tribal Council, OK",49580,45313,46733,51602,43986,48878,46091,43875,48753,49318,53328,53875,581332
"Muscogee Creek Nation, OK",126234,136549,134319,172936,130457,173063,84774,133656,131709,133201,135504,133786,1626188
"Osage Tribal Council, OK",155365,208104,98433,228330,80791,196021,126145,73180,161669,213919,121211,88466,1751634
"Otoe-Missouria Tribe, OK",27589,26155,34405,35194,22936,23807,11881,23360,24605,20970,24950,22614,298466
"Wichita, Caddo & Delaware (WCD), OK",162991,161830,149782,176199,152059,152083,161199,164537,148187,158558,162679,149473,1899577
Colorado,4184034,4284093,4069258,4099723,3975216,3771148,3853195,3835228,3772684,5385395,3768857,2101316,47100147
Iowa,2482456,2481831,2081341,2409782,2219855,2358394,2406267,2241414,2176654,2340475,2388650,843787,26430906
Kansas,4494361,1735194,2728527,3029736,2644984,2455872,2810213,2701441,2654804,2590165,2858842,1306351,32010490
Missouri,2409940,5695228,5071714,5850726,4928981,4971839,5496940,5496174,5246422,5066265,5645508,7658560,63538297
Montana,1198234,890026,484324,846447,807729,789468,850182,831424,793972,828942,824130,1019569,10164447
Nebraska,1760313,1882426,1626041,1816309,1708584,1617009,1792526,1735625,1726482,1777088,1865789,1687330,20995522
North Dakota,648699,610421,542511,628305,578063,701380,596076,579108,357677,620983,615107,585305,7063635
South Dakota,1005653,900003,794767,987122,779706,792230,869515,1184845,530984,921363,718630,729889,10214707
Utah,2690220,2505143,2381501,2625610,2330311,2322950,2389447,2497091,2194052,2478972,2393420,2098716,28907433
Wyoming,192611,180902,544479,552258,350224,358403,92354,550550,158734,372477,381620,388527,4123139
"Ute Mountain Ute Tribe, CO",7993,8321,6737,7918,8519,8847,9318,9702,10386,10213,10737,10495,109186
"Omaha Sioux, NE",22186,22152,20439,22739,21781,21396,23463,22486,22509,22960,22000,22533,266644
"Santee Sioux, NE",8880,8368,8939,8752,8380,8811,9580,10154,10293,10013,9366,8517,110053
"Winnebago Tribe, NE",12832,12837,13976,15269,14172,13726,16173,16968,15280,15280,17830,10629,174972
"Standing Rock Sioux Tribe, ND",33872,37656,39105,47073,42971,42065,45072,49080,43693,29827,33480,41363,485257
"Three Affiliated Tribes, ND",20396,22500,19079,19860,19964,19382,19259,20662,19765,20484,19922,21293,242566
"Cheyenne River Sioux, SD",51002,49075,48827,51140,48204,49194,47983,44404,47357,46444,31023,45001,559654
"Rosebud Sioux, SD",77742,76554,75651,67200,65648,66123,61879,79517,82421,66890,69710,73617,862952
"Northern Arapahoe, WY",30403,29791,26616,27939,22462,26732,23167,27249,23554,25324,26825,22912,312974
"Shoshone Tribe, WY",10807,11072,10228,9862,10245,9175,8998,9978,10014,9490,10252,10109,120230
